iter	Passed	Remaining
207	3421	5855
208	3436	5837
209	3451	5818
210	3468	5802
211	3483	5783
212	3496	5762
213	3509	5739
214	3525	5722
215	3539	5702
216	3555	5685
217	3569	5665
218	3587	5652
219	3601	5632
220	3618	5616
221	3637	5603
222	3652	5585
223	3670	5571
224	3687	5556
225	3701	5535
226	3718	5519
227	3732	5500
228	3751	5487
229	3768	5472
230	3786	5459
231	3805	5445
232	3819	5426
233	3835	5408
234	3851	5392
235	3865	5371
236	3882	5356
237	3902	5344
238	3918	5328
239	3936	5314
240	3955	5301
241	3968	5280
242	3983	5262
243	3998	5243
244	4012	5224
245	4031	5211
246	4046	5193
247	4063	5177
248	4078	5158
249	4091	5138
250	4106	5120
251	4118	5099
252	4133	5081
253	4148	5063
254	4164	5045
255	4182	5031
256	4199	5016
257	4216	5000
258	4232	4984
259	4249	4968
260	4264	4950
261	4282	4936
262	4300	4922
263	4317	4906
264	4331	4887
265	4345	4868
266	4360	4850
267	4374	4832
268	4391	4815
269	4406	4797
270	4421	4780
271	4439	4765
272	4457	4751
273	4473	4735
274	4491	4720
275	4513	4709
276	4527	4691
277	4542	4673
278	4558	4656
279	4572	4637
280	4587	4620
281	4602	4602
282	4620	4587
283	4633	4568
284	4649	4551
285	4664	4534
286	4685	4522
287	4703	4507
288	4718	4490
289	4736	4475
290	4752	4458
291	4769	4443
292	4785	4426
293	4803	4411
294	4820	4395
295	4835	4378
296	4853	4363
297	4870	4347
298	4887	4331
299	4904	4315
300	4917	4296
301	4931	4278
302	4952	4266
303	4970	4251
304	4984	4232
305	5000	4216
306	5020	4202
307	5040	4189
308	5053	4170
309	5069	4153
310	5083	4135
311	5100	4119
312	5115	4102
313	5132	4086
314	5149	4070
315	5164	4052
316	5178	4034
317	5193	4017
318	5208	3999
319	5225	3984
320	5241	3968
321	5257	3950
322	5274	3935
323	5289	3918
324	5307	3902
325	5322	3885
326	5339	3869
327	5357	3855
328	5372	3837
329	5386	3819
330	5401	3802
331	5419	3787
332	5439	3773
333	5456	3757
334	5470	3739
335	5487	3723
336	5504	3707
337	5517	3689
338	5538	3675
339	5554	3659
340	5573	3645
341	5590	3629
342	5607	3613
343	5622	3595
344	5638	3578
345	5652	3561
346	5666	3543
347	5681	3526
348	5700	3511
349	5720	3497
350	5736	3481
351	5755	3466
352	5771	3449
353	5786	3432
354	5800	3414
355	5816	3398
356	5830	3380
357	5843	3362
358	5860	3346
359	5874	3328
360	5889	3312
361	5905	3295
362	5919	3277
363	5935	3261
364	5955	3246
365	5975	3232
366	5989	3214
367	6003	3197
368	6018	3180
369	6037	3165
370	6051	3147
371	6068	3131
372	6082	3114
373	6096	3097
374	6111	3080
375	6130	3065
376	6147	3049
377	6161	3031
378	6175	3014
379	6193	2998
380	6213	2984
381	6231	2968
382	6248	2952
383	6264	2936
384	6281	2920
385	6295	2903
386	6319	2890
387	6336	2874
388	6350	2856
389	6365	2840
390	6383	2824
391	6400	2808
392	6413	2790
393	6428	2773
394	6442	2756
395	6458	2739
396	6474	2723
397	6492	2708
398	6508	2691
399	6521	2674
400	6535	2656
401	6552	2640
402	6568	2624
403	6583	2607
404	6597	2590
405	6611	2572
406	6626	2556
407	6644	2540
408	6659	2523
409	6679	2508
410	6698	2493
411	6718	2478
412	6735	2462
413	6755	2447
414	6768	2430
415	6784	2413
416	6802	2397
417	6818	2381
418	6833	2364
419	6850	2348
420	6869	2333
421	6886	2317
422	6900	2300
423	6915	2283
424	6932	2267
425	6948	2251
426	6966	2235
427	6982	2218
428	6996	2201
429	7009	2184
430	7025	2168
431	7039	2151
432	7052	2133
433	7067	2116
434	7083	2100
435	7099	2084
436	7115	2067
437	7131	2051
438	7144	2034
439	7160	2017
440	7175	2001
441	7192	1985
442	7209	1969
443	7224	1952
444	7240	1936
445	7255	1919
446	7270	1903
447	7284	1886
448	7303	1870
449	7318	1854
450	7333	1837
451	7348	1820
452	7364	1804
453	7381	1788
454	7400	1772
455	7414	1756
456	7432	1740
457	7444	1722
458	7459	1706
459	7476	1690
460	7495	1674
461	7512	1658
462	7531	1642
463	7547	1626
464	7563	1610
465	7578	1593
466	7594	1577
467	7609	1560
468	7625	1544
469	7640	1528
470	7656	1511
471	7673	1495
472	7692	1479
473	7714	1464
474	7729	1448
475	7747	1432
476	7765	1416
477	7782	1400
478	7799	1384
479	7814	1367
480	7831	1351
481	7847	1335
482	7862	1318
483	7880	1302
484	7894	1285
485	7909	1269
486	7926	1253
487	7941	1236
488	7960	1220
489	7972	1204
490	7985	1187
491	8000	1170
492	8018	1154
493	8034	1138
494	8047	1121
495	8063	1105
496	8078	1089
497	8094	1072
498	8111	1056
499	8129	1040
500	8144	1024
501	8161	1007
502	8179	991
503	8198	975
504	8214	959
505	8231	943
506	8249	927
507	8263	910
508	8279	894
509	8298	878
510	8313	862
511	8331	846
512	8345	829
513	8361	813
514	8378	797
515	8398	781
516	8415	765
517	8429	748
518	8443	732
519	8460	715
520	8477	699
521	8492	683
522	8509	667
523	8526	650
524	8542	634
525	8560	618
526	8577	602
527	8592	585
528	8607	569
529	8623	553
530	8637	536
531	8655	520
532	8668	504
533	8685	487
534	8702	471
535	8722	455
536	8737	439
537	8752	423
538	8771	406
539	8787	390
540	8801	374
541	8822	358
542	8838	341
543	8855	325
544	8871	309
545	8889	293
546	8904	276
547	8918	260
548	8936	244
549	8955	227
550	8969	211
551	8985	195
552	9002	179
553	9017	162
554	9033	146
555	9049	130
556	9064	113
557	9079	97
558	9093	81
559	9109	65
560	9123	48
561	9139	32
562	9156	16
563	9172	0
