iter	MultiClass
186	0.2166273478
187	0.2161386369
188	0.2154464397
189	0.2147964363
190	0.2141704389
191	0.2133382519
192	0.2127707566
193	0.2120120016
194	0.2114684405
195	0.2108027375
196	0.2101381981
197	0.2096597985
198	0.2088218294
199	0.2078245549
200	0.2070773464
201	0.20637627
202	0.2058553364
203	0.2045419393
204	0.2040372603
205	0.2034476387
206	0.2024079376
207	0.2016293478
208	0.20061376
209	0.1999933836
210	0.1996346376
211	0.1989105936
212	0.1983597108
213	0.1980426395
214	0.1971714989
215	0.1966328429
216	0.1959473587
217	0.1954953817
218	0.1949743944
219	0.1944463539
220	0.1940010542
221	0.1935074562
222	0.1929739379
223	0.1925607176
224	0.1920282733
225	0.1914472981
226	0.1906915864
227	0.1902135448
228	0.189370975
229	0.1887131308
230	0.188054123
231	0.1870582268
232	0.1864471771
233	0.1860054935
234	0.1847967306
235	0.1844329364
236	0.1837556511
237	0.1827728589
238	0.1824473023
239	0.1818118528
240	0.1811086999
241	0.1804560829
242	0.1798430103
243	0.1792439009
244	0.1788436413
245	0.1781592491
246	0.1777440776
247	0.17688912
248	0.1764198143
249	0.1759823912
250	0.1753540666
251	0.175101369
252	0.1742500633
253	0.1736973367
254	0.1733077822
255	0.1729556955
256	0.1721850718
257	0.1717453753
258	0.1709827178
259	0.1706047097
260	0.1698251174
261	0.1687570066
262	0.1680745299
263	0.16751296
264	0.167114401
265	0.1669073702
266	0.1663536232
267	0.1659121722
268	0.1654137229
269	0.1651278718
270	0.1647437415
271	0.1640086165
272	0.1634372186
273	0.1627585728
274	0.1623437772
275	0.1613350636
276	0.1610990682
277	0.1606201136
278	0.1601069672
279	0.1598302279
280	0.159313537
281	0.1587145887
282	0.1582092473
283	0.1576843396
284	0.1569613697
285	0.1564465047
286	0.1558522108
287	0.1552026013
288	0.1549263991
289	0.1544399975
290	0.1538580556
291	0.153423443
292	0.1528580958
293	0.1522031516
294	0.1515491204
295	0.1512343942
296	0.150419339
297	0.1498729942
298	0.1492930215
299	0.1487991192
300	0.148540362
301	0.1481019454
302	0.14772946
303	0.1471427742
304	0.1468683979
305	0.1464197774
306	0.1457350541
307	0.145148073
308	0.1448937374
309	0.1445281262
310	0.1443028806
311	0.144031664
312	0.1436416888
313	0.1429621748
314	0.1426879059
315	0.1422506171
316	0.142011838
317	0.1416326574
318	0.141194026
319	0.1405929742
320	0.1401345079
321	0.1399281842
322	0.1392907745
323	0.1388600376
324	0.1382436712
325	0.1380215852
326	0.1376431565
327	0.137116745
328	0.1367681313
329	0.1364190163
330	0.135797342
331	0.1352371415
332	0.1347383073
333	0.1343531387
334	0.1341108598
335	0.1336167248
336	0.133244132
337	0.1328577281
338	0.1323457632
339	0.1319645866
340	0.131465654
341	0.1310636221
342	0.1302879502
343	0.1299366155
344	0.1295766432
345	0.1292438275
346	0.1289006647
347	0.1286950571
348	0.1283661976
349	0.1280906667
350	0.1274186355
351	0.1269550405
352	0.1264427444
353	0.1258951017
354	0.1255580523
355	0.1252256036
356	0.1249330215
357	0.1247387187
358	0.1242260198
359	0.1239148649
360	0.1234909306
361	0.1231978652
362	0.1229601154
363	0.122634872
364	0.1221019623
365	0.1218046364
366	0.1215597797
367	0.1212827809
368	0.1209484793
369	0.1203990555
370	0.1201891963
371	0.1199012238
372	0.1195722838
373	0.1192464318
374	0.1189756627
375	0.1186365636
376	0.118418398
377	0.1181627915
378	0.1176664456
379	0.1173240795
380	0.1169774975
381	0.1165353395
382	0.1162882183
383	0.1160597325
384	0.1157870837
385	0.1154523078
386	0.1152411776
387	0.1149122555
388	0.1146689114
389	0.1144989099
390	0.1140816528
391	0.1136417862
392	0.1134561745
393	0.1131795963
394	0.1129753134
395	0.112759663
396	0.1124614151
397	0.1121689583
398	0.1119294363
399	0.1115986793
400	0.1112610749
401	0.1109882114
402	0.1107987598
403	0.1105003956
404	0.1102351133
405	0.1099155984
406	0.1097210986
407	0.1092165807
408	0.1088182813
409	0.1085085854
410	0.1082494612
411	0.1079750581
412	0.1077232467
413	0.1075473466
414	0.1073917199
415	0.1071285142
416	0.1068229177
417	0.1065433948
418	0.1062296442
419	0.1059669845
420	0.1056544243
421	0.1054072584
422	0.1052432538
423	0.1046906167
424	0.1043981241
425	0.1042435805
426	0.1039810908
427	0.1037283037
428	0.1034754809
429	0.1031986253
430	0.1028645117
431	0.1026845838
432	0.1025169273
433	0.1022998537
434	0.1018485212
435	0.1016548359
436	0.1013870027
437	0.1011436587
438	0.1010227877
439	0.1007773403
440	0.1004408011
441	0.1001632921
442	0.0997916928
443	0.09949440263
444	0.09915111456
445	0.09898372661
446	0.09875333433
447	0.09861649528
448	0.09837014382
449	0.09818801399
450	0.09787549859
451	0.09772553775
452	0.09753387536
453	0.09732606583
454	0.0969910214
455	0.09661244052
456	0.09624042055
457	0.09615112788
458	0.09589361484
459	0.0955070499
460	0.09534562314
461	0.09504952342
462	0.0947176386
463	0.09443755177
464	0.09409533779
465	0.09379378706
466	0.09347662623
467	0.09333888316
468	0.09314603032
469	0.09300931658
470	0.09252293289
471	0.09230859826
472	0.09216261155
473	0.0918721329
474	0.09166993548
475	0.0913887298
476	0.09104663218
477	0.09087558337
478	0.09045727013
479	0.09030971703
480	0.09009385182
481	0.08983455758
482	0.08955133799
483	0.08926190657
484	0.0891092784
485	0.08892134848
486	0.08859934529
487	0.08839303053
488	0.0880699264
489	0.08797999823
490	0.08781474055
491	0.08762533376
492	0.08742882902
493	0.08713181632
494	0.0870090747
495	0.0867736342
496	0.08658266998
497	0.08638731093
498	0.0859410266
499	0.08576821449
500	0.08562098362
501	0.08535656955
502	0.08508388499
503	0.08481285631
504	0.08459607813
505	0.0842987432
506	0.08407272784
507	0.08393778635
508	0.08376744465
509	0.08345176069
510	0.08334216772
511	0.08316790559
512	0.08302928535
513	0.08281225654
514	0.08247924393
515	0.08224059011
516	0.08199040773
517	0.08183963237
518	0.0817252597
519	0.08157922823
520	0.0814521276
521	0.08135558482
522	0.08097558973
523	0.08064075117
524	0.08039105213
525	0.08013617956
526	0.07986012056
527	0.07974727847
528	0.07960632208
529	0.0794727053
530	0.07938237434
531	0.07901237724
532	0.07889365451
533	0.07866117671
534	0.07850998066
535	0.0782272265
536	0.0780245368
537	0.07784849347
538	0.07764468492
539	0.07750249332
540	0.07735491337
541	0.07711473793
542	0.07681447611
543	0.07660292516
544	0.07644525772
545	0.07617488245
546	0.07604524876
547	0.07591665335
548	0.07561773414
549	0.07540585201
550	0.07532227887
551	0.07523777485
552	0.07507091052
553	0.07486588466
554	0.07460589226
555	0.07447424913
556	0.07425836154
557	0.07416535878
558	0.07402806772
559	0.07389603075
560	0.07380544917
561	0.07364362411
562	0.07343935907
563	0.07330391186
