iter	MultiClass
0	1.813298693
1	1.599345722
2	1.441224084
3	1.329220858
4	1.232151777
5	1.145467713
6	1.075473788
7	1.018870255
8	0.9668535869
9	0.9195077776
10	0.8803375821
11	0.8494677384
12	0.8168204907
13	0.7860710165
14	0.7613771178
15	0.7398971108
16	0.7199602128
17	0.7017894051
18	0.683230636
19	0.665442419
20	0.6487343784
21	0.632321999
22	0.6184960279
23	0.6044898961
24	0.59491929
25	0.5855161704
26	0.5759195713
27	0.5657258141
28	0.5558246031
29	0.5480507704
30	0.5401950203
31	0.5318504878
32	0.5260309258
33	0.5197667263
34	0.5129371617
35	0.5041553672
36	0.499399727
37	0.4930871935
38	0.4871644472
39	0.4826284583
40	0.4782154169
41	0.4735810772
42	0.4697626519
43	0.4652499708
44	0.4609409371
45	0.4570515861
46	0.4525653992
47	0.4493477482
48	0.4457134577
49	0.4418379983
50	0.4368256506
51	0.4330912908
52	0.4286852668
53	0.4253894578
54	0.4210251801
55	0.4180347349
56	0.415171999
57	0.4116705377
58	0.408315618
59	0.4058477533
60	0.4025318589
61	0.3975164679
62	0.3946734237
63	0.3914631839
64	0.3885943973
65	0.3857439776
66	0.3831366961
67	0.3803396587
68	0.3781728256
69	0.3750294301
70	0.3726660027
71	0.3704636889
72	0.3676519007
73	0.3654113492
74	0.363116055
75	0.3606498373
76	0.3582481365
77	0.3563219712
78	0.3548012032
79	0.3530253746
80	0.3511017155
81	0.3483580961
82	0.346308482
83	0.3439450905
84	0.3418747823
85	0.3401870649
86	0.3387615329
87	0.3372325301
88	0.3349652339
89	0.3327723362
90	0.3306914303
91	0.3289394107
92	0.3271477572
93	0.3255078368
94	0.3238064785
95	0.3220664529
96	0.3203503796
97	0.3184490615
98	0.3171561079
99	0.3158705656
100	0.3146660096
101	0.3124356262
102	0.3109909754
103	0.3095312156
104	0.3080233725
105	0.3064790103
106	0.3043919463
107	0.3031623998
108	0.3021860163
109	0.3010886545
110	0.2991844722
111	0.298191691
112	0.2970158132
113	0.296002839
114	0.2946931297
115	0.2928475211
116	0.2908189591
117	0.2898619272
118	0.2885070881
119	0.2873544107
120	0.2857633077
121	0.2844241504
122	0.2826734018
123	0.281674176
124	0.280392393
125	0.2785261797
126	0.2774982399
127	0.2767725848
128	0.2756331187
129	0.2747269986
130	0.273172164
131	0.2722593129
132	0.2714259266
133	0.2706983918
134	0.2693703692
135	0.2682869348
136	0.2675169914
137	0.2661210326
138	0.2650355037
139	0.2638830411
140	0.2622752181
141	0.2602511315
142	0.2594816893
143	0.2580598987
144	0.2569333933
145	0.255734709
146	0.2541106314
147	0.2526248429
148	0.2518215311
149	0.2504069547
150	0.2497027456
151	0.2485872854
152	0.2472107318
153	0.2459522566
154	0.2450888315
155	0.2436855689
156	0.2426268565
157	0.2419956855
158	0.2408792048
159	0.2401326945
160	0.2392959606
161	0.2384169613
162	0.2378996796
163	0.2372020582
164	0.2364644628
165	0.2355475123
166	0.2346870052
167	0.2339170797
168	0.2326624711
169	0.2317249339
170	0.2307286618
171	0.2298548002
172	0.2292951278
173	0.2285884125
174	0.2277811982
175	0.2266327813
176	0.2259800569
177	0.2249012231
178	0.2241600295
179	0.2232271646
180	0.2221612378
181	0.221344661
182	0.2201771611
183	0.2191144566
184	0.2183007619
185	0.2177056624
